,Open,High,Low,Close,Adj Close,Volume
2018-01-01,99.49608582154937,101.50610775733824,98.49107485365492,100.5010967894438,100.5010967894438,2252557
2018-01-02,99.39817338350078,101.40621729023816,98.39415143013208,100.40219533686947,100.40219533686947,2490687
2018-01-03,100.03549001594826,102.05640900616945,99.02503052083767,101.04594951105885,101.04594951105885,5057025
2018-01-04,101.49165525058692,103.54199172029575,100.46648701573251,102.51682348544134,102.51682348544134,6272864
2018-01-05,101.3040422212359,103.35058852873561,100.28076906748605,102.32731537498576,102.32731537498576,4788963
2018-01-08,101.11644455008992,103.15920100564729,100.09506632231123,102.1378227778686,102.1378227778686,4874910
2018-01-09,102.62516681198558,104.698402505157,101.58854896539987,103.66178465857129,103.66178465857129,4368045
2018-01-10,103.37450146427297,105.46287523122798,102.33031458079546,104.41868834775048,104.41868834775048,6185773
2018-01-11,102.96675455449525,105.04689101014162,101.92668632667207,104.00682278231844,104.00682278231844,5832691
2018-01-12,103.50572746777465,105.59675226510342,102.46021506911025,104.55123986643903,104.55123986643903,1968616
2018-01-15,103.10364636468687,105.18654831144822,102.06219539130619,104.14509733806754,104.14509733806754,5217733
2018-01-16,102.69940241645502,104.77413781880763,101.6620347152787,103.73677011763132,103.73677011763132,8914520
2018-01-17,102.95717751547349,105.03712049558408,101.91720602541821,103.99714900552878,103.99714900552878,2490036
2018-01-18,101.19880498740922,103.24322529018515,100.17659483602124,102.22101513879718,102.22101513879718,3869729
2018-01-19,99.61663835145151,101.62909569188488,98.61040968123483,100.6228670216682,100.6228670216682,8585159
2018-01-22,99.12206826644875,101.12453429203357,98.12083525365634,100.12330127924116,100.12330127924116,8179156
2018-01-23,98.20603174078208,100.1899919779696,97.21405162218832,99.19801185937584,99.19801185937584,9944718
2018-01-24,98.5314267726715,100.52196064686689,97.5361598355738,99.52669370976919,99.52669370976919,8904428
2018-01-25,97.7134332621695,99.68744201494061,96.72642888578396,98.70043763855506,98.70043763855506,5202271
2018-01-26,96.42370528869274,98.37165893088856,95.44972846759484,97.39768210979065,97.39768210979065,5042879
2018-01-29,97.8261926924124,99.80247941347125,96.83804933188298,98.81433605294183,98.81433605294183,3322523
2018-01-30,97.64641609827335,99.61907096894554,96.66008866293726,98.63274353360944,98.63274353360944,5746771
2018-01-31,97.74101474388979,99.71558069831181,96.75373176667878,98.7282977211008,98.7282977211008,9640145
2018-02-01,96.43964542682014,98.38792109200841,95.46550759422598,97.41378325941427,97.41378325941427,2756124
2018-02-02,95.96182460751226,97.90044732685593,94.9925132478404,96.93113596718409,96.93113596718409,1841531
2018-02-05,96.09701705439798,98.03837093428481,95.12634011445456,97.0676939943414,97.0676939943414,1864645
2018-02-06,95.05173479053119,96.97197185700657,94.0916162572935,96.01185332376888,96.01185332376888,2428127
2018-02-07,95.43461460815845,97.36258662044449,94.47062860201544,96.39860061430147,96.39860061430147,6130076
2018-02-08,94.90416846697435,96.82142439560009,93.94554050266147,95.86279643128722,95.86279643128722,9859690
2018-02-09,94.66272859921169,96.57510695475132,93.70653942144187,95.6189177769815,95.6189177769815,5254849
2018-02-12,94.13128345721157,96.03292554725624,93.18046241218923,95.0821045022339,95.0821045022339,8574587
2018-02-13,95.8954480146293,97.83272979270262,94.92680712559263,96.86408890366596,96.86408890366596,7515350
2018-02-14,95.91425044425584,97.85191206939233,94.9454196316876,96.88308125682408,96.88308125682408,9336900
2018-02-15,94.9562305598836,96.87453824796206,93.99707671584437,95.91538440392283,95.91538440392283,2615777
2018-02-16,95.7571186980302,97.69160594445505,94.78987507481777,96.72436232124262,96.72436232124262,4512664
2018-02-19,94.64649434065856,96.55854473137893,93.69046914529837,95.60251953601875,95.60251953601875,1973181
2018-02-20,94.87330688316368,96.78993934544982,93.91499065202062,95.83162311430675,95.83162311430675,2491633
2018-02-21,93.07153838262299,94.95177148126184,92.13142183330356,94.01165493194242,94.01165493194242,3061774
2018-02-22,91.86049928247706,93.71626694474932,90.93261545134092,92.7883831136132,92.7883831136132,3790358
2018-02-23,92.07608407325189,93.93620698382263,91.14602261796651,93.00614552853726,93.00614552853726,4860562
